timestamp,LM399-P15-fast6-no-R7-alkaline15V
1500868788.180,6890115.0
1500868788.518,6890117.5
1500868788.855,6890125.2
1500868789.193,6890125.2
1500868789.531,6890125.2
1500868789.868,6890132.8
1500868790.206,6890132.8
1500868790.544,6890132.8
1500868790.881,6890132.8
1500868791.219,6890127.7
1500868791.557,6890132.8
1500868791.894,6890135.3
1500868792.232,6890132.8
1500868792.570,6890130.2
1500868792.907,6890127.7
1500868793.245,6890135.3
1500868793.582,6890130.2
1500868793.920,6890132.8
1500868794.258,6890130.2
1500868794.596,6890130.2
1500868794.933,6890132.8
1500868795.271,6890132.8
1500868795.609,6890127.7
1500868795.946,6890130.2
1500868796.284,6890127.7
1500868796.621,6890130.2
1500868796.959,6890127.7
1500868797.297,6890130.2
1500868797.635,6890125.2
1500868797.972,6890127.7
1500868798.310,6890130.2
1500868798.647,6890127.7
1500868798.990,6890127.7
1500868799.323,6890127.7
1500868799.661,6890127.7
1500868799.998,6890127.7
1500868800.336,6890125.2
1500868800.674,6890125.2
1500868801.011,6890127.7
1500868801.349,6890127.7
1500868801.687,6890130.2
1500868802.024,6890122.6
1500868802.362,6890122.6
1500868802.699,6890125.2
1500868803.037,6890125.2
1500868803.375,6890122.6
1500868803.712,6890125.2
1500868804.050,6890122.6
1500868804.388,6890125.2
1500868804.725,6890125.2
1500868805.063,6890125.2
1500868805.401,6890125.2
1500868805.738,6890127.7
1500868806.076,6890127.7
1500868806.414,6890125.2
1500868806.751,6890125.2
1500868807.089,6890125.2
1500868807.427,6890125.2
1500868807.764,6890122.6
1500868808.102,6890122.6
1500868808.440,6890122.6
1500868808.778,6890127.7
1500868809.115,6890127.7
1500868809.453,6890125.2
1500868809.790,6890122.6
1500868810.128,6890122.6
1500868810.466,6890122.6
1500868810.803,6890120.1
1500868811.141,6890122.6
1500868811.479,6890125.2
1500868811.816,6890122.6
1500868812.154,6890125.2
1500868812.492,6890125.2
1500868812.829,6890117.5
1500868813.167,6890122.6
1500868813.505,6890120.1
1500868813.842,6890120.1
1500868814.180,6890122.6
1500868814.517,6890122.6
1500868814.855,6890120.1
1500868815.193,6890117.5
1500868815.531,6890117.5
1500868815.868,6890117.5
1500868816.206,6890117.5
1500868816.544,6890120.1
1500868816.881,6890120.1
1500868817.219,6890120.1
1500868817.556,6890120.1
1500868817.894,6890117.5
1500868818.232,6890120.1
1500868818.569,6890120.1
1500868818.907,6890120.1
1500868819.245,6890117.5
1500868819.582,6890120.1
1500868819.920,6890120.1
1500868820.258,6890120.1
1500868820.595,6890122.6
1500868820.933,6890120.1
1500868821.271,6890120.1
1500868821.608,6890115.0
1500868821.946,6890117.5
1500868822.284,6890117.5
1500868822.621,6890115.0
1500868822.959,6890117.5
1500868823.297,6890120.1
1500868823.635,6890120.1
1500868823.972,6890115.0
1500868824.310,6890117.5
1500868824.647,6890117.5
1500868824.985,6890120.1
1500868825.323,6890117.5
1500868825.660,6890117.5
1500868825.998,6890112.5
1500868826.336,6890117.5
1500868826.673,6890115.0
1500868827.011,6890120.1
1500868827.349,6890117.5
1500868827.686,6890117.5
1500868828.024,6890117.5
1500868828.362,6890117.5
1500868828.699,6890117.5
1500868829.037,6890120.1
1500868829.374,6890120.1
1500868829.712,6890120.1
1500868830.050,6890120.1
1500868830.387,6890117.5
1500868830.725,6890120.1
1500868831.063,6890120.1
1500868831.400,6890120.1
1500868831.738,6890117.5
1500868832.076,6890115.0
1500868832.413,6890122.6
1500868832.751,6890120.1
1500868833.089,6890120.1
1500868833.426,6890120.1
1500868833.764,6890120.1
1500868834.102,6890115.0
1500868834.439,6890115.0
1500868834.777,6890120.1
1500868835.115,6890117.5
1500868835.452,6890120.1
1500868835.790,6890117.5
1500868836.128,6890117.5
1500868836.466,6890120.1
1500868836.803,6890117.5
1500868837.141,6890117.5
1500868837.478,6890117.5
1500868837.816,6890117.5
1500868838.154,6890117.5
1500868838.491,6890120.1
1500868838.829,6890120.1
1500868839.167,6890117.5
1500868839.504,6890117.5
1500868839.842,6890117.5
1500868840.180,6890115.0
1500868840.517,6890117.5
1500868840.855,6890117.5
1500868841.193,6890115.0
1500868841.530,6890122.6
1500868841.868,6890117.5
1500868842.206,6890117.5
1500868842.543,6890117.5
1500868842.881,6890120.1
1500868843.219,6890120.1
1500868843.556,6890117.5
1500868843.894,6890117.5
1500868844.232,6890120.1
1500868844.569,6890112.5
1500868844.907,6890120.1
1500868845.245,6890120.1
1500868845.582,6890120.1
1500868845.920,6890117.5
1500868846.257,6890117.5
1500868846.595,6890117.5
1500868846.933,6890115.0
1500868847.271,6890117.5
1500868847.608,6890115.0
1500868847.946,6890117.5
1500868848.284,6890117.5
1500868848.621,6890117.5
1500868848.959,6890117.5
1500868849.296,6890117.5
1500868849.634,6890117.5
1500868849.972,6890117.5
1500868850.310,6890115.0
1500868850.647,6890115.0
1500868850.985,6890117.5
1500868851.322,6890117.5
1500868851.660,6890117.5
1500868851.998,6890120.1
1500868852.335,6890115.0
1500868852.673,6890117.5
1500868853.011,6890120.1
1500868853.348,6890117.5
1500868853.686,6890117.5
1500868854.024,6890117.5
1500868854.361,6890112.5
1500868854.699,6890112.5
1500868855.037,6890117.5
1500868855.374,6890112.5
1500868855.712,6890117.5
1500868856.050,6890117.5
1500868856.387,6890117.5
1500868856.725,6890120.1
1500868857.063,6890117.5
1500868857.400,6890115.0
1500868857.738,6890115.0
1500868858.076,6890120.1
1500868858.413,6890117.5
1500868858.751,6890120.1
1500868859.089,6890117.5
1500868859.427,6890117.5
1500868859.764,6890117.5
1500868860.102,6890117.5
1500868860.439,6890120.1
1500868860.777,6890120.1
1500868861.115,6890117.5
1500868861.452,6890117.5
1500868861.790,6890117.5
1500868862.128,6890120.1
1500868862.465,6890112.5
1500868862.803,6890117.5
1500868863.141,6890115.0
1500868863.478,6890117.5
1500868863.816,6890117.5
1500868864.154,6890115.0
1500868864.491,6890117.5
1500868864.829,6890117.5
1500868865.167,6890120.1
1500868865.504,6890122.6
1500868865.842,6890117.5
1500868866.180,6890115.0
1500868866.517,6890115.0
1500868866.855,6890117.5
1500868867.192,6890115.0
1500868867.530,6890117.5
1500868867.868,6890115.0
1500868868.206,6890117.5
1500868868.543,6890115.0
1500868868.881,6890117.5
1500868869.219,6890115.0
1500868869.556,6890115.0
1500868869.894,6890115.0
1500868870.231,6890115.0
1500868870.569,6890115.0
1500868870.907,6890117.5
1500868871.245,6890117.5
1500868871.582,6890117.5
1500868871.920,6890117.5
1500868872.258,6890115.0
1500868872.595,6890115.0
1500868872.933,6890112.5
1500868873.270,6890115.0
1500868873.608,6890115.0
1500868873.946,6890112.5
1500868874.283,6890115.0
1500868874.621,6890112.5
1500868874.959,6890117.5
1500868875.296,6890115.0
1500868875.634,6890115.0
1500868875.972,6890117.5
1500868876.309,6890120.1
1500868876.647,6890120.1
1500868876.985,6890117.5
1500868877.322,6890120.1
1500868877.660,6890115.0
1500868877.998,6890117.5
1500868878.335,6890115.0
1500868878.673,6890117.5
1500868879.011,6890117.5
1500868879.348,6890115.0
1500868879.686,6890117.5
1500868880.024,6890117.5
1500868880.361,6890117.5
1500868880.699,6890117.5
1500868881.037,6890115.0
1500868881.374,6890117.5
1500868881.712,6890115.0
1500868882.050,6890122.6
1500868882.387,6890117.5
1500868882.725,6890117.5
1500868883.063,6890117.5
1500868883.400,6890120.1
1500868883.738,6890115.0
1500868884.076,6890112.5
1500868884.413,6890115.0
1500868884.751,6890120.1
1500868885.088,6890115.0
1500868885.426,6890115.0
1500868885.764,6890120.1
1500868886.104,6890115.0
1500868886.439,6890115.0
1500868886.777,6890120.1
1500868887.115,6890117.5
1500868887.452,6890117.5
1500868887.790,6890120.1
1500868888.128,6890115.0
1500868888.465,6890117.5
1500868888.803,6890115.0
1500868889.141,6890117.5
1500868889.478,6890117.5
1500868889.816,6890120.1
1500868890.154,6890120.1
1500868890.491,6890117.5
1500868890.829,6890117.5
1500868891.166,6890115.0
1500868891.504,6890115.0
1500868891.842,6890115.0
1500868892.179,6890115.0
1500868892.517,6890115.0
1500868892.855,6890115.0
1500868893.193,6890117.5
1500868893.530,6890120.1
1500868893.868,6890120.1
1500868894.206,6890120.1
1500868894.543,6890115.0
1500868894.881,6890117.5
1500868895.218,6890115.0
1500868895.556,6890117.5
1500868895.894,6890115.0
1500868896.231,6890112.5
1500868896.569,6890115.0
1500868896.907,6890117.5
1500868897.245,6890112.5
1500868897.582,6890117.5
1500868897.920,6890115.0
1500868898.257,6890122.6
1500868898.595,6890117.5
1500868898.933,6890117.5
1500868899.270,6890117.5
1500868899.608,6890120.1
1500868899.946,6890117.5
1500868900.283,6890117.5
1500868900.621,6890117.5
1500868900.959,6890117.5
1500868901.296,6890117.5
1500868901.634,6890117.5
1500868901.972,6890115.0
1500868902.309,6890117.5
1500868902.647,6890117.5
1500868902.985,6890117.5
1500868903.322,6890120.1
1500868903.660,6890117.5
1500868903.998,6890115.0
1500868904.335,6890109.9
1500868904.673,6890117.5
1500868905.011,6890115.0
1500868905.348,6890115.0
1500868905.686,6890117.5
1500868906.024,6890117.5
1500868906.361,6890120.1
1500868906.699,6890117.5
1500868907.037,6890122.6
1500868907.374,6890120.1
1500868907.712,6890112.5
1500868908.050,6890112.5
1500868908.387,6890115.0
1500868908.725,6890112.5
1500868909.063,6890115.0
1500868909.400,6890117.5
1500868909.738,6890117.5
1500868910.076,6890117.5
1500868910.413,6890117.5
1500868910.751,6890120.1
1500868911.089,6890120.1
1500868911.426,6890120.1
1500868911.764,6890117.5
1500868912.101,6890117.5
1500868912.439,6890120.1
1500868912.777,6890115.0
1500868913.114,6890117.5
1500868913.452,6890120.1
1500868913.790,6890117.5
1500868914.128,6890112.5
1500868914.465,6890120.1
1500868914.803,6890117.5
1500868915.141,6890115.0
1500868915.478,6890120.1
1500868915.816,6890120.1
1500868916.154,6890115.0
1500868916.491,6890120.1
1500868916.829,6890112.5
1500868917.167,6890117.5
1500868917.504,6890120.1
1500868917.842,6890120.1
1500868918.179,6890115.0
1500868918.517,6890120.1
1500868918.855,6890120.1
1500868919.192,6890117.5
1500868919.530,6890120.1
1500868919.868,6890120.1
1500868920.205,6890120.1
1500868920.543,6890117.5
1500868920.881,6890117.5
1500868921.218,6890120.1
1500868921.556,6890120.1
1500868921.894,6890115.0
1500868922.231,6890120.1
1500868922.569,6890120.1
1500868922.907,6890120.1
1500868923.244,6890117.5
1500868923.582,6890117.5
1500868923.920,6890117.5
1500868924.257,6890120.1
1500868924.595,6890117.5
1500868924.933,6890120.1
1500868925.270,6890117.5
1500868925.608,6890117.5
1500868925.946,6890117.5
1500868926.283,6890117.5
1500868926.621,6890115.0
1500868926.959,6890120.1
1500868927.296,6890120.1
1500868927.634,6890117.5
1500868927.971,6890117.5
1500868928.309,6890117.5
1500868928.647,6890117.5
1500868928.985,6890117.5
1500868929.322,6890115.0
1500868929.660,6890117.5
1500868929.997,6890117.5
1500868930.335,6890122.6
1500868930.673,6890117.5
1500868931.011,6890115.0
1500868931.348,6890117.5
1500868931.686,6890120.1
1500868932.024,6890117.5
1500868932.361,6890120.1
1500868932.699,6890117.5
1500868933.036,6890120.1
1500868933.374,6890120.1
1500868933.712,6890120.1
1500868934.050,6890117.5
1500868934.387,6890122.6
1500868934.725,6890117.5
1500868935.062,6890120.1
1500868935.400,6890117.5
1500868935.738,6890122.6
1500868936.075,6890120.1
1500868936.413,6890117.5
1500868936.751,6890117.5
1500868937.088,6890117.5
1500868937.426,6890120.1
1500868937.764,6890115.0
1500868938.101,6890120.1
1500868938.439,6890115.0
1500868938.777,6890117.5
1500868939.114,6890120.1
1500868939.452,6890117.5
1500868939.790,6890117.5
1500868940.128,6890117.5
1500868940.465,6890117.5
1500868940.803,6890120.1
1500868941.140,6890117.5
1500868941.478,6890120.1
1500868941.816,6890117.5
1500868942.153,6890120.1
1500868942.491,6890115.0
1500868942.829,6890120.1
1500868943.166,6890117.5
1500868943.504,6890115.0
1500868943.842,6890115.0
1500868944.179,6890117.5
1500868944.517,6890117.5
1500868944.855,6890117.5
1500868945.192,6890117.5
1500868945.530,6890117.5
1500868945.867,6890117.5
1500868946.205,6890115.0
1500868946.543,6890115.0
1500868946.881,6890117.5
1500868947.218,6890115.0
1500868947.556,6890115.0
1500868947.894,6890115.0
1500868948.231,6890122.6
1500868948.569,6890117.5
1500868948.907,6890115.0
1500868949.244,6890117.5
1500868949.582,6890112.5
1500868949.920,6890117.5
1500868950.257,6890115.0
1500868950.595,6890117.5
1500868950.932,6890120.1
1500868951.270,6890115.0
1500868951.608,6890117.5
1500868951.946,6890117.5
1500868952.283,6890117.5
1500868952.621,6890117.5
1500868952.958,6890112.5
1500868953.296,6890115.0
1500868953.634,6890117.5
1500868953.971,6890117.5
1500868954.309,6890117.5
1500868954.647,6890115.0
1500868954.984,6890115.0
1500868955.322,6890120.1
1500868955.660,6890117.5
1500868955.998,6890117.5
1500868956.335,6890115.0
1500868956.673,6890112.5
1500868957.010,6890120.1
1500868957.348,6890115.0
1500868957.686,6890117.5
1500868958.023,6890115.0
1500868958.361,6890117.5
1500868958.699,6890117.5
1500868959.036,6890112.5
1500868959.374,6890115.0
1500868959.712,6890115.0
1500868960.049,6890117.5
1500868960.387,6890112.5
1500868960.725,6890117.5
1500868961.062,6890120.1
1500868961.400,6890115.0
1500868961.737,6890117.5
1500868962.075,6890117.5
1500868962.413,6890117.5
1500868962.750,6890117.5
1500868963.088,6890122.6
1500868963.426,6890115.0
1500868963.763,6890117.5
1500868964.101,6890117.5
1500868964.439,6890115.0
1500868964.776,6890117.5
1500868965.114,6890117.5
1500868965.452,6890117.5
1500868965.790,6890115.0
1500868966.127,6890117.5
1500868966.465,6890117.5
1500868966.803,6890112.5
1500868967.140,6890120.1
1500868967.478,6890117.5
1500868967.815,6890115.0
1500868968.153,6890117.5
1500868968.491,6890115.0
1500868968.828,6890115.0
1500868969.166,6890115.0
1500868969.504,6890112.5
1500868969.841,6890120.1
1500868970.179,6890115.0
1500868970.517,6890115.0
1500868970.855,6890117.5
1500868971.192,6890117.5
1500868971.530,6890117.5
1500868971.867,6890115.0
1500868972.205,6890115.0
1500868972.543,6890115.0
1500868972.880,6890117.5
1500868973.218,6890115.0
1500868973.556,6890115.0
1500868973.894,6890117.5
1500868974.231,6890117.5
1500868974.569,6890115.0
1500868974.906,6890117.5
1500868975.244,6890115.0
1500868975.582,6890115.0
1500868975.919,6890117.5
1500868976.257,6890115.0
1500868976.595,6890117.5
1500868976.932,6890117.5
1500868977.270,6890115.0
1500868977.608,6890120.1
1500868977.945,6890117.5
1500868978.283,6890117.5
1500868978.621,6890115.0
1500868978.958,6890117.5
1500868979.296,6890117.5
1500868979.634,6890115.0
1500868979.971,6890120.1
1500868980.309,6890120.1
1500868980.647,6890115.0
1500868980.984,6890115.0
1500868981.322,6890117.5
1500868981.660,6890112.5
1500868981.997,6890115.0
1500868982.335,6890115.0
1500868982.673,6890115.0
1500868983.010,6890115.0
1500868983.348,6890112.5
1500868983.685,6890117.5
1500868984.023,6890117.5
1500868984.361,6890120.1
1500868984.698,6890117.5
1500868985.036,6890120.1
1500868985.374,6890112.5
1500868985.711,6890112.5
1500868986.049,6890117.5
1500868986.387,6890120.1
1500868986.724,6890117.5
1500868987.062,6890115.0
1500868987.400,6890115.0
1500868987.737,6890115.0
1500868988.075,6890120.1
1500868988.413,6890117.5
1500868988.750,6890117.5
1500868989.088,6890117.5
1500868989.426,6890115.0
1500868989.763,6890117.5
1500868990.101,6890115.0
1500868990.439,6890115.0
1500868990.777,6890112.5
1500868991.114,6890112.5
1500868991.452,6890115.0
1500868991.789,6890117.5
1500868992.127,6890120.1
1500868992.465,6890117.5
1500868992.802,6890117.5
1500868993.140,6890115.0
1500868993.478,6890120.1
1500868993.815,6890120.1
1500868994.153,6890115.0
1500868994.491,6890117.5
1500868994.828,6890117.5
1500868995.166,6890117.5
1500868995.504,6890117.5
1500868995.841,6890115.0
1500868996.179,6890117.5
1500868996.517,6890117.5
1500868996.854,6890120.1
1500868997.192,6890117.5
1500868997.530,6890122.6
1500868997.867,6890115.0
1500868998.205,6890122.6
1500868998.543,6890120.1
1500868998.880,6890115.0
1500868999.218,6890115.0
1500868999.556,6890117.5
1500868999.893,6890120.1
1500869000.231,6890115.0
1500869000.569,6890120.1
1500869000.906,6890117.5
1500869001.244,6890122.6
1500869001.581,6890117.5
1500869001.919,6890120.1
1500869002.257,6890117.5
1500869002.594,6890120.1
1500869002.932,6890122.6
1500869003.270,6890115.0
1500869003.608,6890122.6
1500869003.945,6890125.2
1500869004.283,6890117.5
1500869004.621,6890120.1
1500869004.958,6890125.2
1500869005.296,6890120.1
1500869005.634,6890120.1
1500869005.971,6890120.1
1500869006.309,6890117.5
1500869006.646,6890122.6
1500869006.984,6890117.5
1500869007.322,6890120.1
1500869007.660,6890120.1
1500869007.997,6890120.1
1500869008.335,6890115.0
1500869008.673,6890120.1
1500869009.010,6890120.1
1500869009.348,6890120.1
1500869009.685,6890117.5
1500869010.023,6890120.1
1500869010.361,6890117.5
1500869010.698,6890117.5
1500869011.036,6890117.5
1500869011.374,6890120.1
1500869011.712,6890122.6
1500869012.049,6890120.1
1500869012.387,6890122.6
1500869012.724,6890120.1
1500869013.062,6890120.1
1500869013.400,6890120.1
1500869013.737,6890117.5
1500869014.075,6890117.5
1500869014.413,6890120.1
1500869014.751,6890120.1
1500869015.088,6890122.6
1500869015.426,6890120.1
1500869015.763,6890122.6
1500869016.101,6890120.1
1500869016.439,6890122.6
1500869016.776,6890117.5
1500869017.114,6890120.1
1500869017.452,6890117.5
1500869017.789,6890117.5
1500869018.127,6890115.0
1500869018.464,6890120.1
1500869018.802,6890115.0
1500869019.140,6890115.0
1500869019.477,6890117.5
1500869019.815,6890117.5
1500869020.153,6890117.5
1500869020.491,6890112.5
1500869020.828,6890115.0
1500869021.166,6890117.5
1500869021.504,6890112.5
1500869021.841,6890115.0
1500869022.179,6890115.0
1500869022.517,6890117.5
1500869022.854,6890112.5
1500869023.192,6890112.5
1500869023.530,6890115.0
1500869023.867,6890115.0
1500869024.205,6890117.5
1500869024.543,6890115.0
1500869024.880,6890120.1
1500869025.218,6890120.1
1500869025.556,6890117.5
1500869025.893,6890117.5
1500869026.231,6890120.1
1500869026.569,6890115.0
